English,Russian
guys,ребята
made,сделал
old,Старый
which,который
big,большой
lot,много
done,Выполнено
hello,Привет
nice,Ницца
believe,полагать
girl,девочка
fine,отлично
thanks,Благодарность
wanted,хотел
kind,своего рода
coming,приходящий
house,дом
through,через
being,существование
course,курс
stay,остаться
left,левый
dad,папа
enough,достаточно
came,пришел
mother,мама
wrong,неправильный
might,мог бы
today,сегодня
listen,Слушать
another,Другая
understand,понимать
hear,слышать
remember,Помните
show,показывать
else,еще
kill,убийство
talking,разговор
found,нашел
next,следующий
getting,получающий
care,забота
car,машина
looking,Ищу
try,пытаться
went,шел
hi,Привет
dead,мертвых
mind,разум
wasn,Разве
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
job,работа
saw,увидел
without,без
baby,младенец
room,номер
wouldn,быстрый
already,уже
move,переехать
most,самый
seen,видимый
live,реальный
miss,Мисс
actually,фактически
huh,Хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готов
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
pretty,симпатичный
bit,немного
took,взял
haven,выступ
yet,пока что
whole,все
start,Начало
while,пока
since,поскольку
wife,жена
days,дни
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня вечером
everyone,все
run,бегать
wanna,хочу
ah,ах
myself,сам
school,школа
um,ими
